DATE,EASTERN GAME TIME,LOCAL GAME TIME,REST DAYS,ROAD TEAM,HOME TEAM,REST DAYS,ARENA
11/7,8:00 PM,8:00 PM,1,Boston Celtics,Charlotte Hornets,1,Spectrum Center
11/7,8:30 PM,7:30 PM,1,Oklahoma City Thunder,San Antonio Spurs,1,AT&T Center
11/7,9:00 PM,6:00 PM,1,Miami Heat,Phoenix Suns,2,Talking Stick Resort Arena
11/7,10:30 PM,7:30 PM,2,Portland Trail Blazers,Los Angeles Clippers,B2B,Staples Center
11/8,7:00 PM,7:00 PM,2,Cleveland Cavaliers,Washington Wizards,1,Capital One Arena
11/8,7:00 PM,7:00 PM,1,Detroit Pistons,Indiana Pacers,3IN4,Bankers Life Fieldhouse
11/8,7:00 PM,7:00 PM,1,Memphis Grizzlies,Orlando Magic,3IN4,Amway Center
11/8,7:30 PM,7:30 PM,1,Sacramento Kings,Atlanta Hawks,3IN4,State Farm Arena
11/8,8:00 PM,7:00 PM,1,Golden State Warriors,Minnesota Timberwolves,1,Target Center
11/8,8:00 PM,7:00 PM,1,Toronto Raptors,New Orleans Pelicans,3+,Smoothie King Center
11/8,8:30 PM,7:30 PM,1,New York Knicks,Dallas Mavericks,1,American Airlines Center
11/8,9:00 PM,7:00 PM,1,Philadelphia 76ers,Denver Nuggets,2,Pepsi Center
11/8,9:00 PM,7:00 PM,1,Milwaukee Bucks,Utah Jazz,1,Vivint Smart Home Arena
11/8,10:00 PM,7:00 PM,3+,Brooklyn Nets,Portland Trail Blazers,B2B,Moda Center
11/8,10:30 PM,7:30 PM,3IN4-B2B,Miami Heat,Los Angeles Lakers,2,Staples Center
11/9,5:00 PM,4:00 PM,1,Boston Celtics,San Antonio Spurs,1,AT&T Center
11/9,7:00 PM,7:00 PM,B2B,New Orleans Pelicans,Charlotte Hornets,1,Spectrum Center
11/9,8:00 PM,7:00 PM,2,Houston Rockets,Chicago Bulls,2,United Center
11/9,8:00 PM,7:00 PM,3IN4-B2B,Dallas Mavericks,Memphis Grizzlies,3IN4-B2B,FedExForum
11/9,8:00 PM,7:00 PM,3IN4-B2B,Golden State Warriors,Oklahoma City Thunder,1,Chesapeake Energy Arena
